bigram,count,sem,mean,std,skew,kurtosis
ga,957,0.00562860514042,0.197240334243,0.174123244876,6.33122923735,58.7195785835
ge,2097,0.0028360223255,0.173911302223,0.129870005993,7.29287982261,86.8340645659
gf,39,0.0326335138548,0.156307692308,0.203796228704,1.89859040164,2.71293905558
gg,112,0.0158851630753,0.2018125,0.168112764132,4.11209201649,17.477122391
gh,2176,0.00413125887434,0.145521599225,0.192713374091,19.3825444213,521.1546914
gi,613,0.00720990391249,0.201138662316,0.178508834358,5.10482977833,38.8479992188
gj,32,0.0209439949904,0.14259375,0.118477127063,1.2261706806,1.44128014959
gl,163,0.0115994742391,0.201404907975,0.148092173418,4.25028964459,28.9487906565
gn,190,0.0196030174302,0.252089473684,0.270208947946,2.56818401691,8.10740247177
go,2466,0.00324424817887,0.168657745781,0.16110558849,11.8139867363,258.640563562
gr,1444,0.00297464926887,0.22892313108,0.113036672217,3.30918464118,16.8919530358
gs,334,0.0144545208828,0.271508982036,0.264166008599,5.84356544341,50.3842258119
gt,97,0.0338205527842,0.295226804124,0.333093815149,6.49744764,51.4503379774
gu,412,0.00713347894638,0.186468448727,0.144793808617,4.47277448367,32.631904003
gy,91,0.0151369749922,0.212131868132,0.144397538359,2.96877413253,12.7457722838
ha,8405,0.0013557055377,0.135169065764,0.12428943933,12.9451733239,326.488197815
hd,111,0.0311992650796,0.258603606078,0.328704654222,3.44347984776,13.2663697405
he,21317,0.000904499822219,0.138938452925,0.13206007161,13.6737299065,360.752352164
hf,98,0.0282131833529,0.157683673469,0.279296265748,4.05375419527,17.5690454856
hg,74,0.0342374549374,0.148094594595,0.294521723687,4.91393187161,27.4585437416
hi,6283,0.00225250445525,0.185470953811,0.178545614968,9.31675421884,143.185226678
hj,59,0.0164867418818,0.11213559322,0.126637067302,2.77026690765,12.3942019993
hl,77,0.02763948414,0.386480519481,0.242535489014,2.48624341779,8.02134757519
hn,147,0.0199877301333,0.26687755102,0.242338348832,3.80115840775,16.989017942
ho,5080,0.00232594110737,0.207576968521,0.165779402634,7.43789297689,109.734942777
hp,31,0.0367244768626,0.28164516129,0.204473233519,1.63570565955,2.52243725869
hr,432,0.00948912091914,0.238361111765,0.197227674613,4.37130028184,28.9566308359
hs,190,0.0103738975214,0.212394736842,0.142994309184,1.42784372934,2.27214963287
ht,1860,0.00549888898416,0.160409140026,0.237154529604,22.782165916,684.385915881
hu,1045,0.0068216099601,0.243323444465,0.220518499809,10.9843021315,208.026543917
hy,201,0.00968962705024,0.23996517561,0.13737417278,2.55079369592,12.1720599517
ia,1074,0.00545589296412,0.190245811086,0.178800192591,10.5464724353,182.405417271
